,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
8112,Brandman University,Brandman University - Santa Clarita Campus,"University Ctr.Rm. UCEN 204C ,26455 Rockwell Canyon Rd",Santa Clarita,CA,91355,2,"Private nonprofit, 4-year or above",2621.0,4710.0,7331.0,0,2,0,0,"University Ctr.Rm. UCEN 204C ,26455 Rockwell Canyon Rd, Santa Clarita, CA, 91355","[34.4042459, -118.5682302]",34.4042459,-118.5682302
8122,Conservatory of Recording Arts and Sciences,Main Campus,2300 E BROADWAY RD,TEMPE,AZ,852821707,9,"Private for-profit, less-than 2-year",548.0,64.0,612.0,0,0,0,1,"2300 E BROADWAY RD, TEMPE, AZ, 852821707","[33.4079534, -111.8896869]",33.4079534,-111.8896869
8136,Everest College-Everett,Altierus Career College Everett,906 SE Everett Mall Way Suite 600,Everett,WA,982083700,5,"Private nonprofit, 2-year",31.0,223.0,254.0,0,0,1,0,"906 SE Everett Mall Way Suite 600, Everett, WA, 982083700","[47.90929939999999, -122.2202443]",47.9092994,-122.2202443
8137,Luna Community College,Main Campus,366 Luna Dr.,LAS VEGAS,NM,87701,4,"Public, 2-year",647.0,792.0,1439.0,0,0,0,1,"366 Luna Dr., LAS VEGAS, NM, 87701","[35.6164057, -105.2508968]",35.6164057,-105.2508968
8147,Paradise Valley Community College,Main Campus,18401 N 32ND ST,PHOENIX,AZ,85032,4,"Public, 2-year",3643.0,4750.0,8393.0,0,0,1,1,"18401 N 32ND ST, PHOENIX, AZ, 85032","[33.6515587, -112.0107791]",33.6515587,-112.0107791
8148,Paradise Valley Community College,Black Mountain Campus,34250 N. 60th Street,Scottsdale,AZ,85266,4,"Public, 2-year",3643.0,4750.0,8393.0,0,1,0,0,"34250 N. 60th Street, Scottsdale, AZ, 85266","[33.7965995, -111.9527149]",33.7965995,-111.9527149
8149,Chandler-Gilbert Community College,Chandler-Gilbert Community College - Pecos Campus,2626 E PECOS RD,CHANDLER,AZ,852252499,4,"Public, 2-year",6906.0,7724.0,14630.0,0,1,0,0,"2626 E PECOS RD, CHANDLER, AZ, 852252499","[33.2938374, -111.7964134]",33.2938374,-111.7964134
8150,Chandler-Gilbert Community College,CGCC/Williams Campus,7360 E. Tahoe Ave.,Mesa,AZ,852120908,4,"Public, 2-year",6906.0,7724.0,14630.0,1,1,0,0,"7360 E. Tahoe Ave., Mesa, AZ, 852120908","[33.310876, -111.6720812]",33.310876,-111.6720812
8179,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes-Barre Area Career and Technical Center Practical Nursing,350 Jumper Rd,Wilkes-Barre,PA,187050699,7,"Public, less-than 2-year",13.0,134.0,147.0,0,3,0,1,"350 Jumper Rd, Wilkes-Barre, PA, 187050699","[41.2616417, -75.8140239]",41.2616417,-75.8140239
8189,Universal Technical Institute of Illinois Inc,"UNIVERSAL TECHNICAL INSTITUTE OF ILLINOIS, INC.",2611 CORPORATE WEST DRIVE,LISLE,IL,60532,6,"Private for-profit, 2-year",1145.0,39.0,1184.0,0,1,0,0,"2611 CORPORATE WEST DRIVE, LISLE, IL, 60532","[41.8073101, -88.10392159999999]",41.8073101,-88.1039216
