,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng,lat,long
560,El Camino College-Compton Center,El Camino College Compton Center,1111 East Artesia Blvd.,Compton,CA,902215393,4,"Public, 2-year",2743.0,4684.0,7427.0,0,0,0,3,"1111 East Artesia Blvd. Compton, CA","[33.8791963, -118.2093839]",33.8791963,-118.2093839
561,Contra Costa College,Main Campus,2600 MISSION BELL DR,SAN PABLO,CA,94806,4,"Public, 2-year",2575.0,3780.0,6355.0,0,0,2,0,"2600 MISSION BELL DR SAN PABLO, CA","[37.968654, -122.340449]",37.968654,-122.340449
562,Cosumnes River College,Cosumnes River College,8401 CENTER PKY,SACRAMENTO,CA,958235799,4,"Public, 2-year",6380.0,8018.0,14398.0,2,2,3,1,"8401 CENTER PKY SACRAMENTO, CA","[38.4523212, -121.4171353]",38.4523212,-121.4171353
563,Cosumnes River College,Elk Grove Center,10051 Big Horne Blvd.,Elk Grove,CA,95757,4,"Public, 2-year",6380.0,8018.0,14398.0,0,0,0,1,"10051 Big Horne Blvd. Elk Grove, CA","[38.3921023, -121.3980794]",38.3921023,-121.3980794
564,Crafton Hills College,Main Campus,11711 SAND CANYON RD,YUCAIPA,CA,923991799,4,"Public, 2-year",2793.0,3192.0,5985.0,0,1,0,0,"11711 SAND CANYON RD YUCAIPA, CA","[34.0389043, -117.101817]",34.0389043,-117.101817
567,Cuesta College,Arroyo Grande Campus,495 Valley Road,Arroyo Grande,CA,93420,4,"Public, 2-year",4581.0,5019.0,9600.0,0,0,0,1,"495 Valley Road Arroyo Grande, CA","[35.1152789, -120.5792276]",35.1152789,-120.5792276
569,Cypress College,Main Campus,9200 VALLEY VIEW,CYPRESS,CA,906305897,4,"Public, 2-year",7240.0,8947.0,16187.0,1,3,0,0,"9200 VALLEY VIEW CYPRESS, CA","[33.8280924, -118.0252758]",33.8280924,-118.0252758
570,Cypress College,Culinary Arts Program,1830 West Romneya,Anaheim,CA,928011819,4,"Public, 2-year",7240.0,8947.0,16187.0,0,0,0,1,"1830 West Romneya Anaheim, CA","[33.8499864, -117.9452201]",33.8499864,-117.9452201
571,De Anza College,Main Campus,21250 STEVENS CREEK BLVD,CUPERTINO,CA,95014,4,"Public, 2-year",11574.0,10938.0,22512.0,0,2,0,0,"21250 STEVENS CREEK BLVD CUPERTINO, CA","[37.3195396, -122.0450548]",37.3195396,-122.0450548
579,Dominican University of California,Dominican University of California,50 ACACIA AVE,SAN RAFAEL,CA,949012298,2,"Private nonprofit, 4-year or above",504.0,1359.0,1863.0,1,3,1,0,"50 ACACIA AVE SAN RAFAEL, CA","[37.9798523, -122.5134504]",37.9798523,-122.5134504
