UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,FILTER14,FILTER15,FILTER16
130837001,Margaret H Rollins School of Nursing at Beebe Medical Center,Main Campus,424 SAVANNAH RD,LEWES,DE,19958,5,"Private nonprofit, 2-year",9,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130873001,Dawn Career Institute Inc,Main Campus,3700 Lancaster Pike Suite 105,WILMINGTON,DE,19805,9,"Private for-profit, less-than 2-year",6,105,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130907001,Delaware Technical Community College-Terry,Terry Campus,100 CAMPUS DRIVE,DOVER,DE,19901,4,"Public, 2-year",5420,9059,14479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130907002,Delaware Technical Community College-Terry,Owens Campus,21179 College Drive,GEORGETOWN,DE,19947,4,"Public, 2-year",5420,9059,14479,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130907003,Delaware Technical Community College-Terry,Wilmington-Stanton Campus,400 STANTON-CHRISTIANA RD,NEWARK,DE,197132197,4,"Public, 2-year",5420,9059,14479,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130907004,Delaware Technical Community College-Terry,Wilmington Campus,300 N. Orange Street,Wilmington,DE,19801,4,"Public, 2-year",5420,9059,14479,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130934001,Delaware State University,Main Campus,1200 N. Dupont Highway,Dover,DE,199012202,1,"Public, 4-year or above",1585,2743,4328,0,0,1,0,0,0,0,11,6,2,0,0,0,12,1,0,0,2,5,19,3,0,0,0,6,6,0,0,0,7,14,1,1,1,1,1
130934002,Delaware State University,Wilmington Campus,3931 Kirkwood Hwy,Wilmington,DE,19808,1,"Public, 4-year or above",1585,2743,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130934003,Delaware State University,Georgetown Campus,Route 18,Georgetown,DE,19947,1,"Public, 4-year or above",1585,2743,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130943001,University of Delaware,Main Campus,413 Academy St.,NEWARK,DE,19716,1,"Public, 4-year or above",10024,12985,23009,0,0,10,2,0,0,3,3,27,0,0,0,0,13,10,0,0,1,8,7,0,1,0,0,5,1,0,0,0,6,7,1,1,1,1,1
